,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,7.6946e-23,2.0914e-22,5.5696e-22,1.4533e-21,3.7155e-21,9.3071e-21,2.2843e-20,5.4933e-20,1.2943e-19,2.9881e-19,6.7591e-19,1.498e-18,3.253e-18,6.9212e-18,1.4429e-17,2.9472e-17,5.8982e-17,1.1566e-16,2.2221e-16,4.1831e-16,7.7155e-16,1.3943e-15,2.4689e-15,4.2834e-15,7.2813e-15,1.2127e-14,1.9791e-14,3.1644e-14,4.9575e-14,7.6097e-14,1.1445e-13,1.6865e-13,2.4351e-13,3.4449e-13,4.775e-13,6.4849e-13,8.6293e-13,1.1251e-12,1.4372e-12,1.7989e-12,2.2062e-12,2.6509e-12,3.121e-12,3.6003e-12,4.0692e-12,4.5063e-12,4.8895e-12,5.1982e-12,5.4147e-12,5.5264e-12,5.5264e-12,5.4147e-12,5.1982e-12,4.8895e-12,4.5063e-12,4.0692e-12,3.6003e-12,3.121e-12,2.6509e-12,2.2062e-12,1.7989e-12,1.4372e-12,1.1251e-12,8.6293e-13,6.4849e-13,4.775e-13,3.4449e-13,2.4351e-13,1.6865e-13,1.1445e-13,7.6097e-14,4.9575e-14,3.1644e-14,1.9791e-14,1.2127e-14,7.2813e-15,4.2834e-15,2.4689e-15,1.3943e-15,7.7155e-16,4.1831e-16,2.2221e-16,1.1566e-16,5.8982e-17,2.9472e-17,1.4429e-17,6.9212e-18,3.253e-18,1.498e-18,6.7591e-19,2.9881e-19,1.2943e-19,5.4933e-20,2.2843e-20,9.3071e-21,3.7155e-21,1.4533e-21,5.5696e-22,2.0914e-22,7.6946e-23
2,2.0914e-22,5.6844e-22,1.5138e-21,3.95e-21,1.0099e-20,2.5297e-20,6.2087e-20,1.4931e-19,3.518e-19,8.1217e-19,1.8371e-18,4.0716e-18,8.8416e-18,1.8812e-17,3.9217e-17,8.0104e-17,1.6031e-16,3.1436e-16,6.0397e-16,1.137e-15,2.0971e-15,3.7898e-15,6.7106e-15,1.1642e-14,1.9791e-14,3.2962e-14,5.3791e-14,8.6009e-14,1.3474e-13,2.0683e-13,3.1107e-13,4.584e-13,6.6186e-13,9.3632e-13,1.2978e-12,1.7626e-12,2.3454e-12,3.058e-12,3.9064e-12,4.8895e-12,5.9964e-12,7.2053e-12,8.483e-12,9.7855e-12,1.106e-11,1.2248e-11,1.329e-11,1.4129e-11,1.4717e-11,1.5021e-11,1.5021e-11,1.4717e-11,1.4129e-11,1.329e-11,1.2248e-11,1.106e-11,9.7855e-12,8.483e-12,7.2053e-12,5.9964e-12,4.8895e-12,3.9064e-12,3.058e-12,2.3454e-12,1.7626e-12,1.2978e-12,9.3632e-13,6.6186e-13,4.584e-13,3.1107e-13,2.0683e-13,1.3474e-13,8.6009e-14,5.3791e-14,3.2962e-14,1.9791e-14,1.1642e-14,6.7106e-15,3.7898e-15,2.0971e-15,1.137e-15,6.0397e-16,3.1436e-16,1.6031e-16,8.0104e-17,3.9217e-17,1.8812e-17,8.8416e-18,4.0716e-18,1.8371e-18,8.1217e-19,3.518e-19,1.4931e-19,6.2087e-20,2.5297e-20,1.0099e-20,3.95e-21,1.5138e-21,5.6844e-22,2.0914e-22
3,5.5696e-22,1.5138e-21,4.0315e-21,1.0519e-20,2.6894e-20,6.7368e-20,1.6535e-19,3.9762e-19,9.3688e-19,2.1629e-18,4.8924e-18,1.0843e-17,2.3546e-17,5.0098e-17,1.0444e-16,2.1332e-16,4.2693e-16,8.3717e-16,1.6084e-15,3.0278e-15,5.5847e-15,1.0093e-14,1.7871e-14,3.1005e-14,5.2704e-14,8.7782e-14,1.4325e-13,2.2905e-13,3.5884e-13,5.5082e-13,8.2842e-13,1.2208e-12,1.7626e-12,2.4935e-12,3.4563e-12,4.694e-12,6.2462e-12,8.1437e-12,1.0403e-11,1.3021e-11,1.5969e-11,1.9188e-11,2.2591e-11,2.606e-11,2.9454e-11,3.2618e-11,3.5392e-11,3.7626e-11,3.9194e-11,4.0002e-11,4.0002e-11,3.9194e-11,3.7626e-11,3.5392e-11,3.2618e-11,2.9454e-11,2.606e-11,2.2591e-11,1.9188e-11,1.5969e-11,1.3021e-11,1.0403e-11,8.1437e-12,6.2462e-12,4.694e-12,3.4563e-12,2.4935e-12,1.7626e-12,1.2208e-12,8.2842e-13,5.5082e-13,3.5884e-13,2.2905e-13,1.4325e-13,8.7782e-14,5.2704e-14,3.1005e-14,1.7871e-14,1.0093e-14,5.5847e-15,3.0278e-15,1.6084e-15,8.3717e-16,4.2693e-16,2.1332e-16,1.0444e-16,5.0098e-17,2.3546e-17,1.0843e-17,4.8924e-18,2.1629e-18,9.3688e-19,3.9762e-19,1.6535e-19,6.7368e-20,2.6894e-20,1.0519e-20,4.0315e-21,1.5138e-21,5.5696e-22
4,1.4533e-21,3.95e-21,1.0519e-20,2.7448e-20,7.0174e-20,1.7578e-19,4.3144e-19,1.0375e-18,2.4446e-18,5.6437e-18,1.2766e-17,2.8293e-17,6.1439e-17,1.3072e-16,2.7251e-16,5.5663e-16,1.114e-15,2.1844e-15,4.1969e-15,7.9006e-15,1.4572e-14,2.6335e-14,4.6631e-14,8.0901e-14,1.3752e-13,2.2905e-13,3.7379e-13,5.9766e-13,9.3632e-13,1.4372e-12,2.1616e-12,3.1854e-12,4.5992e-12,6.5064e-12,9.0185e-12,1.2248e-11,1.6298e-11,2.1249e-11,2.7145e-11,3.3977e-11,4.1668e-11,5.0068e-11,5.8947e-11,6.7998e-11,7.6855e-11,8.511e-11,9.2349e-11,9.8179e-11,1.0227e-10,1.0438e-10,1.0438e-10,1.0227e-10,9.8179e-11,9.2349e-11,8.511e-11,7.6855e-11,6.7998e-11,5.8947e-11,5.0068e-11,4.1668e-11,3.3977e-11,2.7145e-11,2.1249e-11,1.6298e-11,1.2248e-11,9.0185e-12,6.5064e-12,4.5992e-12,3.1854e-12,2.1616e-12,1.4372e-12,9.3632e-13,5.9766e-13,3.7379e-13,2.2905e-13,1.3752e-13,8.0901e-14,4.6631e-14,2.6335e-14,1.4572e-14,7.9006e-15,4.1969e-15,2.1844e-15,1.114e-15,5.5663e-16,2.7251e-16,1.3072e-16,6.1439e-17,2.8293e-17,1.2766e-17,5.6437e-18,2.4446e-18,1.0375e-18,4.3144e-19,1.7578e-19,7.0174e-20,2.7448e-20,1.0519e-20,3.95e-21,1.4533e-21
5,3.7155e-21,1.0099e-20,2.6894e-20,7.0174e-20,1.7941e-19,4.4941e-19,1.103e-18,2.6525e-18,6.2499e-18,1.4429e-17,3.2637e-17,7.2334e-17,1.5707e-16,3.342e-16,6.9671e-16,1.4231e-15,2.848e-15,5.5847e-15,1.073e-14,2.0199e-14,3.7255e-14,6.7328e-14,1.1922e-13,2.0683e-13,3.5159e-13,5.8559e-13,9.5562e-13,1.528e-12,2.3938e-12,3.6745e-12,5.5264e-12,8.1437e-12,1.1758e-11,1.6634e-11,2.3057e-11,3.1313e-11,4.1668e-11,5.4327e-11,6.94e-11,8.6865e-11,1.0653e-10,1.28e-10,1.507e-10,1.7384e-10,1.9649e-10,2.1759e-10,2.361e-10,2.51e-10,2.6146e-10,2.6685e-10,2.6685e-10,2.6146e-10,2.51e-10,2.361e-10,2.1759e-10,1.9649e-10,1.7384e-10,1.507e-10,1.28e-10,1.0653e-10,8.6865e-11,6.94e-11,5.4327e-11,4.1668e-11,3.1313e-11,2.3057e-11,1.6634e-11,1.1758e-11,8.1437e-12,5.5264e-12,3.6745e-12,2.3938e-12,1.528e-12,9.5562e-13,5.8559e-13,3.5159e-13,2.0683e-13,1.1922e-13,6.7328e-14,3.7255e-14,2.0199e-14,1.073e-14,5.5847e-15,2.848e-15,1.4231e-15,6.9671e-16,3.342e-16,1.5707e-16,7.2334e-17,3.2637e-17,1.4429e-17,6.2499e-18,2.6525e-18,1.103e-18,4.4941e-19,1.7941e-19,7.0174e-20,2.6894e-20,1.0099e-20,3.7155e-21
6,9.3071e-21,2.5297e-20,6.7368e-20,1.7578e-19,4.4941e-19,1.1258e-18,2.763e-18,6.6444e-18,1.5656e-17,3.6143e-17,8.1755e-17,1.8119e-16,3.9347e-16,8.3717e-16,1.7452e-15,3.5648e-15,7.1342e-15,1.3989e-14,2.6878e-14,5.0597e-14,9.3323e-14,1.6865e-13,2.9863e-13,5.1811e-13,8.8072e-13,1.4669e-12,2.3938e-12,3.8275e-12,5.9964e-12,9.2044e-12,1.3843e-11,2.04e-11,2.9454e-11,4.1668e-11,5.7756e-11,7.8439e-11,1.0438e-10,1.3609e-10,1.7384e-10,2.1759e-10,2.6685e-10,3.2065e-10,3.7751e-10,4.3547e-10,4.9219e-10,5.4506e-10,5.9142e-10,6.2876e-10,6.5495e-10,6.6845e-10,6.6845e-10,6.5495e-10,6.2876e-10,5.9142e-10,5.4506e-10,4.9219e-10,4.3547e-10,3.7751e-10,3.2065e-10,2.6685e-10,2.1759e-10,1.7384e-10,1.3609e-10,1.0438e-10,7.8439e-11,5.7756e-11,4.1668e-11,2.9454e-11,2.04e-11,1.3843e-11,9.2044e-12,5.9964e-12,3.8275e-12,2.3938e-12,1.4669e-12,8.8072e-13,5.1811e-13,2.9863e-13,1.6865e-13,9.3323e-14,5.0597e-14,2.6878e-14,1.3989e-14,7.1342e-15,3.5648e-15,1.7452e-15,8.3717e-16,3.9347e-16,1.8119e-16,8.1755e-17,3.6143e-17,1.5656e-17,6.6444e-18,2.763e-18,1.1258e-18,4.4941e-19,1.7578e-19,6.7368e-20,2.5297e-20,9.3071e-21
7,2.2843e-20,6.2087e-20,1.6535e-19,4.3144e-19,1.103e-18,2.763e-18,6.7814e-18,1.6308e-17,3.8425e-17,8.8708e-17,2.0066e-16,4.4471e-16,9.6571e-16,2.0547e-15,4.2834e-15,8.7492e-15,1.751e-14,3.4335e-14,6.5968e-14,1.2418e-13,2.2905e-13,4.1394e-13,7.3296e-13,1.2716e-12,2.1616e-12,3.6003e-12,5.8753e-12,9.3942e-12,1.4717e-11,2.2591e-11,3.3977e-11,5.0068e-11,7.2291e-11,1.0227e-10,1.4175e-10,1.9252e-10,2.5618e-10,3.34e-10,4.2668e-10,5.3405e-10,6.5495e-10,7.8699e-10,9.2654e-10,1.0688e-09,1.208e-09,1.3378e-09,1.4516e-09,1.5432e-09,1.6075e-09,1.6406e-09,1.6406e-09,1.6075e-09,1.5432e-09,1.4516e-09,1.3378e-09,1.208e-09,1.0688e-09,9.2654e-10,7.8699e-10,6.5495e-10,5.3405e-10,4.2668e-10,3.34e-10,2.5618e-10,1.9252e-10,1.4175e-10,1.0227e-10,7.2291e-11,5.0068e-11,3.3977e-11,2.2591e-11,1.4717e-11,9.3942e-12,5.8753e-12,3.6003e-12,2.1616e-12,1.2716e-12,7.3296e-13,4.1394e-13,2.2905e-13,1.2418e-13,6.5968e-14,3.4335e-14,1.751e-14,8.7492e-15,4.2834e-15,2.0547e-15,9.6571e-16,4.4471e-16,2.0066e-16,8.8708e-17,3.8425e-17,1.6308e-17,6.7814e-18,2.763e-18,1.103e-18,4.3144e-19,1.6535e-19,6.2087e-20,2.2843e-20
8,5.4933e-20,1.4931e-19,3.9762e-19,1.0375e-18,2.6525e-18,6.6444e-18,1.6308e-17,3.9217e-17,9.2403e-17,2.1332e-16,4.8254e-16,1.0694e-15,2.3223e-15,4.9411e-15,1.0301e-14,2.104e-14,4.2108e-14,8.2569e-14,1.5864e-13,2.9863e-13,5.5082e-13,9.9543e-13,1.7626e-12,3.058e-12,5.1982e-12,8.6578e-12,1.4129e-11,2.2591e-11,3.5392e-11,5.4327e-11,8.1707e-11,1.204e-10,1.7384e-10,2.4593e-10,3.4089e-10,4.6296e-10,6.1606e-10,8.0321e-10,1.0261e-09,1.2843e-09,1.575e-09,1.8925e-09,2.2281e-09,2.5703e-09,2.905e-09,3.2171e-09,3.4907e-09,3.7111e-09,3.8656e-09,3.9453e-09,3.9453e-09,3.8656e-09,3.7111e-09,3.4907e-09,3.2171e-09,2.905e-09,2.5703e-09,2.2281e-09,1.8925e-09,1.575e-09,1.2843e-09,1.0261e-09,8.0321e-10,6.1606e-10,4.6296e-10,3.4089e-10,2.4593e-10,1.7384e-10,1.204e-10,8.1707e-11,5.4327e-11,3.5392e-11,2.2591e-11,1.4129e-11,8.6578e-12,5.1982e-12,3.058e-12,1.7626e-12,9.9543e-13,5.5082e-13,2.9863e-13,1.5864e-13,8.2569e-14,4.2108e-14,2.104e-14,1.0301e-14,4.9411e-15,2.3223e-15,1.0694e-15,4.8254e-16,2.1332e-16,9.2403e-17,3.9217e-17,1.6308e-17,6.6444e-18,2.6525e-18,1.0375e-18,3.9762e-19,1.4931e-19,5.4933e-20
9,1.2943e-19,3.518e-19,9.3688e-19,2.4446e-18,6.2499e-18,1.5656e-17,3.8425e-17,9.2403e-17,2.1772e-16,5.0264e-16,1.137e-15,2.5198e-15,5.4719e-15,1.1642e-14,2.4271e-14,4.9575e-14,9.9215e-14,1.9455e-13,3.7379e-13,7.0364e-13,1.2978e-12,2.3454e-12,4.1531e-12,7.2053e-12,1.2248e-11,2.04e-11,3.329e-11,5.3229e-11,8.3391e-11,1.28e-10,1.9252e-10,2.837e-10,4.0961e-10,5.7947e-10,8.0321e-10,1.0908e-09,1.4516e-09,1.8925e-09,2.4176e-09,3.026e-09,3.7111e-09,4.4592e-09,5.25e-09,6.0561e-09,6.8449e-09,7.5801e-09,8.2248e-09,8.744e-09,9.1083e-09,9.2961e-09,9.2961e-09,9.1083e-09,8.744e-09,8.2248e-09,7.5801e-09,6.8449e-09,6.0561e-09,5.25e-09,4.4592e-09,3.7111e-09,3.026e-09,2.4176e-09,1.8925e-09,1.4516e-09,1.0908e-09,8.0321e-10,5.7947e-10,4.0961e-10,2.837e-10,1.9252e-10,1.28e-10,8.3391e-11,5.3229e-11,3.329e-11,2.04e-11,1.2248e-11,7.2053e-12,4.1531e-12,2.3454e-12,1.2978e-12,7.0364e-13,3.7379e-13,1.9455e-13,9.9215e-14,4.9575e-14,2.4271e-14,1.1642e-14,5.4719e-15,2.5198e-15,1.137e-15,5.0264e-16,2.1772e-16,9.2403e-17,3.8425e-17,1.5656e-17,6.2499e-18,2.4446e-18,9.3688e-19,3.518e-19,1.2943e-19
10,2.9881e-19,8.1217e-19,2.1629e-18,5.6437e-18,1.4429e-17,3.6143e-17,8.8708e-17,2.1332e-16,5.0264e-16,1.1604e-15,2.6248e-15,5.8173e-15,1.2633e-14,2.6878e-14,5.6032e-14,1.1445e-13,2.2905e-13,4.4914e-13,8.6293e-13,1.6244e-12,2.9962e-12,5.4147e-12,9.5878e-12,1.6634e-11,2.8276e-11,4.7095e-11,7.6855e-11,1.2289e-10,1.9252e-10,2.9551e-10,4.4445e-10,6.5495e-10,9.4564e-10,1.3378e-09,1.8543e-09,2.5183e-09,3.3511e-09,4.3691e-09,5.5814e-09,6.986e-09,8.5674e-09,1.0295e-08,1.212e-08,1.3981e-08,1.5802e-08,1.75e-08,1.8988e-08,2.0187e-08,2.1028e-08,2.1461e-08,2.1461e-08,2.1028e-08,2.0187e-08,1.8988e-08,1.75e-08,1.5802e-08,1.3981e-08,1.212e-08,1.0295e-08,8.5674e-09,6.986e-09,5.5814e-09,4.3691e-09,3.3511e-09,2.5183e-09,1.8543e-09,1.3378e-09,9.4564e-10,6.5495e-10,4.4445e-10,2.9551e-10,1.9252e-10,1.2289e-10,7.6855e-11,4.7095e-11,2.8276e-11,1.6634e-11,9.5878e-12,5.4147e-12,2.9962e-12,1.6244e-12,8.6293e-13,4.4914e-13,2.2905e-13,1.1445e-13,5.6032e-14,2.6878e-14,1.2633e-14,5.8173e-15,2.6248e-15,1.1604e-15,5.0264e-16,2.1332e-16,8.8708e-17,3.6143e-17,1.4429e-17,5.6437e-18,2.1629e-18,8.1217e-19,2.9881e-19
