,0.01,0.44435,0.8787,1.313,1.7474,2.1817,2.6161,3.0504,3.4848,3.9191,4.3535,4.7878,5.2222,5.6565,6.0909,6.5252,6.9596,7.3939,7.8283,8.2626,8.697,9.1313,9.5657,10
-10,101.74,96.059,91.96,88.312,85.051,82.155,79.614,77.424,75.582,74.086,72.934,72.126,71.661,71.538,71.757,72.318,73.22,74.464,76.048,77.973,80.239,82.845,85.792,89.079
-9.1304,85.116,79.81,76.089,72.819,69.935,67.417,65.254,63.442,61.977,60.859,60.085,59.654,59.567,59.822,60.419,61.357,62.637,64.258,66.22,68.523,71.166,74.15,77.475,81.139
-8.2609,70.002,65.073,61.73,58.838,56.332,54.191,52.406,50.971,49.885,49.144,48.748,48.695,48.985,49.618,50.592,51.908,53.566,55.565,57.904,60.585,63.606,66.967,70.67,74.712
-7.3913,56.4,51.849,48.883,46.369,44.241,42.477,41.07,40.013,39.304,38.941,38.923,39.248,39.916,40.926,42.278,43.972,46.007,48.383,51.101,54.159,57.558,61.297,65.377,69.797
-6.5217,44.31,40.137,37.549,35.412,33.662,32.276,31.246,30.567,30.236,30.251,30.61,31.313,32.358,33.746,35.476,37.548,39.961,42.715,45.81,49.245,53.022,57.139,61.597,66.395
-5.6522,33.733,29.938,27.727,25.968,24.595,23.587,22.935,22.634,22.68,23.073,23.81,24.89,26.313,28.079,30.187,32.636,35.426,38.558,42.031,45.844,49.999,54.493,59.329,64.504
-4.7826,24.668,21.25,19.418,18.036,17.041,16.411,16.136,16.213,16.637,17.407,18.521,19.98,21.781,23.924,26.409,29.236,32.404,35.914,39.764,43.955,48.487,53.36,58.573,64.126
-3.913,17.115,14.075,12.62,11.617,10.999,10.747,10.85,11.304,12.106,13.253,14.746,16.581,18.76,21.281,24.144,27.349,30.895,34.782,39.01,43.579,48.488,53.739,59.329,65.26
-3.0435,11.074,8.4126,7.3351,6.7093,6.4694,6.5946,7.0756,7.9074,9.0869,10.612,12.482,14.696,17.252,20.151,23.391,26.974,30.897,35.162,39.768,44.715,50.002,55.63,61.598,67.907
-2.1739,6.5463,4.2621,3.5623,3.3142,3.452,3.9549,4.8136,6.023,7.5803,9.4833,11.731,14.322,17.256,20.533,24.151,28.111,32.412,37.055,42.038,47.363,53.028,59.033,65.379,72.066
-1.3043,3.5304,1.6239,1.3018,1.4314,1.9469,2.8275,4.0639,5.651,7.5859,9.8667,12.492,15.461,18.773,22.427,26.423,30.761,35.44,40.46,45.821,51.523,57.566,63.949,70.673,77.737
-0.43478,2.0268,0.498,0.55362,1.0609,1.9541,3.2124,4.8265,6.7913,9.1039,11.762,14.765,18.112,21.801,25.833,30.207,34.922,39.979,45.377,51.116,57.196,63.616,70.377,77.478,84.92
0.43478,2.0355,0.88439,1.3177,2.2027,3.4736,5.1096,7.1013,9.4438,12.134,15.17,18.551,22.275,26.342,30.752,35.503,40.596,46.031,51.806,57.923,64.38,71.178,78.317,85.796,93.616
1.3043,3.5565,2.7831,3.5941,4.8567,6.5053,8.519,10.888,13.609,16.677,20.091,23.849,27.951,32.396,37.183,42.312,47.783,53.595,59.748,66.243,73.078,80.253,87.77,95.627,103.82
2.1739,6.5898,6.194,7.3827,9.0231,11.049,13.441,16.188,19.286,22.731,26.523,30.659,35.139,39.961,45.126,50.633,56.481,62.671,69.202,76.074,83.287,90.84,98.735,106.97,115.54
3.0435,11.135,11.117,12.684,14.702,17.106,19.875,23,26.475,30.299,34.468,38.982,43.839,49.039,54.582,60.466,66.692,73.26,80.169,87.418,95.009,102.94,111.21,119.82,128.78
3.913,17.193,17.553,19.497,21.893,24.674,27.821,31.324,35.177,39.378,43.925,48.816,54.051,59.629,65.55,71.812,78.416,85.361,92.647,100.27,108.24,116.55,125.2,134.19,143.52
4.7826,24.763,25.501,27.822,30.596,33.755,37.28,41.16,45.391,49.97,54.894,60.163,65.776,71.732,78.03,84.67,91.651,98.974,106.64,114.64,122.99,131.68,140.7,150.07,159.78
5.6522,33.846,34.961,37.66,40.811,44.348,48.251,52.508,57.117,62.074,67.376,73.023,79.013,85.347,92.022,99.04,106.4,114.1,122.14,130.52,139.25,148.31,157.72,167.46,177.55
6.5217,44.44,45.933,49.01,52.539,56.454,60.734,65.369,70.356,75.69,81.37,87.394,93.763,100.47,107.53,114.92,122.66,130.74,139.16,147.92,157.02,166.46,176.24,186.37,196.83
7.3913,56.547,58.418,61.873,65.779,70.072,74.729,79.743,85.107,90.818,96.876,103.28,110.02,117.11,124.54,132.32,140.43,148.89,157.68,166.82,176.3,186.12,196.28,206.78,217.62
8.2609,70.167,72.415,76.247,80.532,85.202,90.237,95.628,101.37,107.46,113.89,120.67,127.8,135.26,143.07,151.22,159.72,168.55,177.72,187.24,197.1,207.29,217.83,228.71,239.93
9.1304,85.298,87.924,92.134,96.796,101.84,107.26,113.03,119.15,125.61,132.43,139.58,147.08,154.93,163.11,171.64,180.51,189.72,199.28,209.17,219.4,229.98,240.9,252.15,263.75
10,101.94,104.95,109.53,114.57,120,125.79,131.94,138.43,145.28,152.47,160,167.88,176.1,184.67,193.57,202.82,212.41,222.34,232.61,243.23,254.18,265.47,277.1,289.08
