,-10,-9.798,-9.596,-9.3939,-9.1919,-8.9899,-8.7879,-8.5859,-8.3838,-8.1818,-7.9798,-7.7778,-7.5758,-7.3737,-7.1717,-6.9697,-6.7677,-6.5657,-6.3636,-6.1616,-5.9596,-5.7576,-5.5556,-5.3535,-5.1515,-4.9495,-4.7475,-4.5455,-4.3434,-4.1414,-3.9394,-3.7374,-3.5354,-3.3333,-3.1313,-2.9293,-2.7273,-2.5253,-2.3232,-2.1212,-1.9192,-1.7172,-1.5152,-1.3131,-1.1111,-0.90909,-0.70707,-0.50505,-0.30303,-0.10101,0.10101,0.30303,0.50505,0.70707,0.90909,1.1111,1.3131,1.5152,1.7172,1.9192,2.1212,2.3232,2.5253,2.7273,2.9293,3.1313,3.3333,3.5354,3.7374,3.9394,4.1414,4.3434,4.5455,4.7475,4.9495,5.1515,5.3535,5.5556,5.7576,5.9596,6.1616,6.3636,6.5657,6.7677,6.9697,7.1717,7.3737,7.5758,7.7778,7.9798,8.1818,8.3838,8.5859,8.7879,8.9899,9.1919,9.3939,9.596,9.798,10
-10,1200,1171.9,1144.1,1116.6,1089.5,1062.7,1036.2,1010,984.19,958.68,933.5,908.64,884.11,859.91,836.04,812.49,789.27,766.37,743.8,721.56,699.64,678.05,656.79,635.85,615.24,594.96,575,555.37,536.07,517.09,498.44,480.11,462.12,444.44,427.1,410.08,393.39,377.02,360.98,345.27,329.88,314.83,300.09,285.69,271.6,257.85,244.42,231.32,218.55,206.1,193.98,182.19,170.72,159.58,148.76,138.27,128.11,118.27,108.76,99.582,90.725,82.196,73.992,66.116,58.565,51.342,44.444,37.874,31.629,25.712,20.12,14.856,9.9174,5.3056,1.0203,-2.9385,-6.5708,-9.8765,-12.856,-15.509,-17.835,-19.835,-21.508,-22.855,-23.875,-24.569,-24.936,-24.977,-24.691,-24.079,-23.14,-21.875,-20.284,-18.365,-16.121,-13.55,-10.652,-7.4278,-3.8772,0
-9.798,1179.9,1152,1124.5,1097.2,1070.3,1043.8,1017.5,991.61,966.02,940.76,915.82,891.22,866.93,842.98,819.34,796.04,773.06,750.41,728.09,706.09,684.42,663.08,642.06,621.37,601,580.96,561.25,541.86,522.8,504.07,485.66,467.58,449.83,432.4,415.3,398.53,382.08,365.96,350.17,334.7,319.56,304.74,290.26,276.09,262.26,248.75,235.57,222.71,210.18,197.98,186.1,174.55,163.33,152.43,141.86,131.62,121.7,112.11,102.85,93.909,85.297,77.013,69.054,61.422,54.117,47.138,40.486,34.16,28.16,22.488,17.141,12.121,7.4278,3.0609,-0.97949,-4.6934,-8.0808,-11.142,-13.876,-16.284,-18.365,-20.12,-21.549,-22.651,-23.426,-23.875,-23.998,-23.793,-23.263,-22.406,-21.222,-19.712,-17.876,-15.713,-13.223,-10.407,-7.2646,-3.7955,1.1369e-13,4.122
-9.596,1159.9,1132.3,1105,1078,1051.4,1025,999.04,973.37,948.03,923.01,898.32,873.95,849.91,826.2,802.82,779.76,757.02,734.62,712.54,690.79,669.36,648.26,627.49,607.04,586.92,567.13,547.66,528.52,509.7,491.22,473.05,455.22,437.71,420.53,403.67,387.14,370.94,355.07,339.52,324.29,309.4,294.83,280.58,266.67,253.08,239.81,226.87,214.26,201.98,190.02,178.39,167.08,156.11,145.45,135.13,125.13,115.46,106.11,97.092,88.399,80.033,71.993,64.279,56.892,49.832,43.098,36.69,30.609,24.855,19.427,14.325,9.55,5.1015,0.97949,-2.816,-6.2851,-9.4276,-12.244,-14.733,-16.896,-18.733,-20.243,-21.426,-22.283,-22.814,-23.018,-22.896,-22.447,-21.671,-20.569,-19.141,-17.386,-15.305,-12.897,-10.162,-7.1013,-3.7139,0,4.0404,8.4073
-9.3939,1140.1,1112.7,1085.7,1059,1032.5,1006.5,980.72,955.29,930.19,905.42,880.97,856.85,833.06,809.59,786.45,763.64,741.15,718.99,697.15,675.65,654.46,633.61,613.08,592.88,573,553.45,534.23,515.34,496.77,478.52,460.61,443.02,425.75,408.82,392.2,375.92,359.96,344.33,329.03,314.05,299.4,285.07,271.07,257.4,244.06,231.04,218.35,205.98,193.94,182.23,170.84,159.78,149.05,138.64,128.56,118.8,109.38,100.28,91.501,83.053,74.931,67.136,59.667,52.525,45.71,39.22,33.058,27.222,21.712,16.529,11.672,7.1421,2.9385,-0.93868,-4.4893,-7.7135,-10.611,-13.182,-15.427,-17.345,-18.937,-20.202,-21.141,-21.753,-22.039,-21.998,-21.63,-20.937,-19.916,-18.57,-16.896,-14.896,-12.57,-9.9174,-6.9381,-3.6323,0,3.9588,8.2441,12.856
-9.1919,1120.5,1093.4,1066.5,1040.1,1013.9,988.06,962.55,937.37,912.52,887.99,863.79,839.91,816.37,793.14,770.25,747.68,725.44,703.52,681.93,660.67,639.73,619.12,598.84,578.88,559.25,539.94,520.97,502.32,483.99,465.99,448.32,430.98,413.96,397.27,380.9,364.86,349.15,333.76,318.7,303.97,289.56,275.48,261.73,248.3,235.2,222.43,209.98,197.86,186.06,174.59,163.45,152.64,142.15,131.99,122.15,112.64,103.46,94.603,86.073,77.87,69.993,62.443,55.219,48.322,41.751,35.507,29.589,23.998,18.733,13.795,9.1827,4.8975,0.93868,-2.6936,-5.9994,-8.9787,-11.631,-13.958,-15.958,-17.631,-18.978,-19.998,-20.692,-21.059,-21.1,-20.814,-20.202,-19.263,-17.998,-16.406,-14.488,-12.244,-9.6725,-6.7748,-3.5507,-5.6843e-14,3.8772,8.0808,12.611,17.468
-8.9899,1101,1074.1,1047.6,1021.3,995.41,969.82,944.56,919.62,895.01,870.73,846.77,823.14,799.84,776.86,754.21,731.88,709.89,688.22,666.87,645.85,625.16,604.8,584.76,565.04,545.66,526.6,507.87,489.46,471.38,453.63,436.2,419.1,402.33,385.88,369.76,353.96,338.5,323.35,308.54,294.05,279.89,266.05,252.55,239.36,226.51,213.98,201.78,189.9,178.35,167.13,156.23,145.66,135.41,125.5,115.91,106.64,97.704,89.093,80.808,72.85,65.218,57.912,50.934,44.281,37.955,31.956,26.283,20.937,15.917,11.223,6.8564,2.816,-0.89787,-4.2853,-7.3462,-10.081,-12.489,-14.57,-16.325,-17.753,-18.855,-19.631,-20.08,-20.202,-19.998,-19.467,-18.61,-17.427,-15.917,-14.08,-11.917,-9.4276,-6.6116,-3.469,0,3.7955,7.9176,12.366,17.141,22.243
-8.7879,1081.7,1055.1,1028.8,1002.8,977.08,951.74,926.72,902.03,877.67,853.63,829.92,806.53,783.47,760.74,738.33,716.25,694.5,673.07,651.97,631.2,610.75,590.63,570.84,551.37,532.23,513.42,494.93,476.77,458.93,441.42,424.24,407.39,390.86,374.66,358.78,343.23,328.01,313.11,298.54,284.3,270.38,256.79,243.53,230.59,217.98,205.69,193.74,182.1,170.8,159.82,149.17,138.84,128.84,119.17,109.83,100.81,92.113,83.747,75.707,67.993,60.606,53.546,46.812,40.404,34.323,28.569,23.14,18.039,13.264,8.8154,4.6934,0.89787,-2.5712,-5.7137,-8.5297,-11.019,-13.182,-15.019,-16.529,-17.712,-18.57,-19.1,-19.304,-19.182,-18.733,-17.957,-16.855,-15.427,-13.672,-11.591,-9.1827,-6.4483,-3.3874,5.6843e-14,3.7139,7.7543,12.121,16.815,21.835,27.181
-8.5859,1062.6,1036.2,1010.1,984.35,958.92,933.82,909.05,884.6,860.48,836.69,813.22,790.08,767.27,744.78,722.62,700.79,679.28,658.1,637.24,616.71,596.51,576.64,557.09,537.86,518.97,500.4,482.15,464.24,446.65,429.38,412.45,395.84,379.55,363.6,347.96,332.66,317.68,303.03,288.71,274.71,261.03,247.69,234.67,221.98,209.61,197.57,185.86,174.47,163.41,152.68,142.27,132.19,122.44,113.01,103.91,95.133,86.685,78.563,70.768,63.3,56.158,49.342,42.853,36.69,30.854,25.344,20.161,15.305,10.774,6.5708,2.6936,-0.85706,-4.0812,-6.9789,-9.55,-11.795,-13.713,-15.305,-16.57,-17.508,-18.121,-18.406,-18.365,-17.998,-17.304,-16.284,-14.937,-13.264,-11.264,-8.9379,-6.2851,-3.3058,0,3.6323,7.5911,11.876,16.488,21.426,26.691,32.282
-8.3838,1043.6,1017.4,991.61,966.11,940.92,916.07,891.54,867.34,843.46,819.92,796.69,773.8,751.23,728.99,707.07,685.48,664.22,643.28,622.67,602.39,582.43,562.8,543.5,524.52,505.87,487.54,469.54,451.87,434.53,417.51,400.82,384.45,368.41,352.7,337.31,322.25,307.52,293.11,279.03,265.28,251.85,238.75,225.98,213.53,201.41,189.61,178.15,167,156.19,145.7,135.54,125.7,116.19,107.01,98.153,89.624,81.42,73.544,65.993,58.77,51.872,45.301,39.057,33.139,27.548,22.283,17.345,12.733,8.4481,4.4893,0.85706,-2.4487,-5.428,-8.0808,-10.407,-12.407,-14.08,-15.427,-16.447,-17.141,-17.508,-17.549,-17.264,-16.651,-15.713,-14.448,-12.856,-10.938,-8.693,-6.1218,-3.2242,-5.6843e-14,3.5507,7.4278,11.631,16.162,21.018,26.201,31.711,37.547
