,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,500,488,476.25,464.74,453.47,442.45,431.68,421.15,410.87,400.83,391.03,381.48,372.18,363.12,354.3,345.73,337.4,329.32,321.49,313.9,306.55,299.45,292.59,285.98,279.61,273.49,267.62,261.98,256.6,251.45,246.56,241.9,237.5,233.33,229.42,225.74,222.31,219.13,216.19,213.5,211.05,208.85,206.89,205.17,203.7,202.48,201.5,200.77,200.28,200.03,200.03,200.28,200.77,201.5,202.48,203.7,205.17,206.89,208.85,211.05,213.5,216.19,219.13,222.31,225.74,229.42,233.33,237.5,241.9,246.56,251.45,256.6,261.98,267.62,273.49,279.61,285.98,292.59,299.45,306.55,313.9,321.49,329.32,337.4,345.73,354.3,363.12,372.18,381.48,391.03,400.83,410.87,421.15,431.68,442.45,453.47,464.74,476.25,488,500
2,492,480,468.25,456.74,445.47,434.46,423.68,413.15,402.87,392.83,383.03,373.48,364.18,355.12,346.3,337.73,329.41,321.32,313.49,305.9,298.55,291.45,284.59,277.98,271.62,265.49,259.62,253.98,248.6,243.45,238.56,233.9,229.5,225.33,221.42,217.74,214.31,211.13,208.19,205.5,203.05,200.85,198.89,197.17,195.7,194.48,193.5,192.77,192.28,192.03,192.03,192.28,192.77,193.5,194.48,195.7,197.17,198.89,200.85,203.05,205.5,208.19,211.13,214.31,217.74,221.42,225.33,229.5,233.9,238.56,243.45,248.6,253.98,259.62,265.49,271.62,277.98,284.59,291.45,298.55,305.9,313.49,321.32,329.41,337.73,346.3,355.12,364.18,373.48,383.03,392.83,402.87,413.15,423.68,434.46,445.47,456.74,468.25,480,492
3,484.16,472.17,460.41,448.9,437.64,426.62,415.85,405.32,395.03,384.99,375.2,365.65,356.34,347.28,338.47,329.89,321.57,313.49,305.65,298.06,290.72,283.61,276.76,270.15,263.78,257.66,251.78,246.15,240.76,235.62,230.72,226.07,221.66,217.5,213.58,209.91,206.48,203.3,200.36,197.66,195.21,193.01,191.05,189.34,187.87,186.64,185.66,184.93,184.44,184.2,184.2,184.44,184.93,185.66,186.64,187.87,189.34,191.05,193.01,195.21,197.66,200.36,203.3,206.48,209.91,213.58,217.5,221.66,226.07,230.72,235.62,240.76,246.15,251.78,257.66,263.78,270.15,276.76,283.61,290.72,298.06,305.65,313.49,321.57,329.89,338.47,347.28,356.34,365.65,375.2,384.99,395.03,405.32,415.85,426.62,437.64,448.9,460.41,472.17,484.16
4,476.49,464.49,452.74,441.23,429.97,418.95,408.17,397.64,387.36,377.32,367.52,357.97,348.67,339.61,330.79,322.22,313.9,305.82,297.98,290.39,283.04,275.94,269.08,262.47,256.11,249.98,244.11,238.48,233.09,227.95,223.05,218.4,213.99,209.83,205.91,202.23,198.81,195.62,192.68,189.99,187.54,185.34,183.38,181.67,180.2,178.97,177.99,177.26,176.77,176.52,176.52,176.77,177.26,177.99,178.97,180.2,181.67,183.38,185.34,187.54,189.99,192.68,195.62,198.81,202.23,205.91,209.83,213.99,218.4,223.05,227.95,233.09,238.48,244.11,249.98,256.11,262.47,269.08,275.94,283.04,290.39,297.98,305.82,313.9,322.22,330.79,339.61,348.67,357.97,367.52,377.32,387.36,397.64,408.17,418.95,429.97,441.23,452.74,464.49,476.49
5,468.98,456.98,445.23,433.72,422.46,411.44,400.66,390.13,379.85,369.81,360.01,350.46,341.16,332.1,323.28,314.71,306.39,298.31,290.47,282.88,275.53,268.43,261.58,254.96,248.6,242.48,236.6,230.97,225.58,220.44,215.54,210.89,206.48,202.32,198.4,194.73,191.3,188.11,185.17,182.48,180.03,177.83,175.87,174.16,172.69,171.46,170.48,169.75,169.26,169.01,169.01,169.26,169.75,170.48,171.46,172.69,174.16,175.87,177.83,180.03,182.48,185.17,188.11,191.3,194.73,198.4,202.32,206.48,210.89,215.54,220.44,225.58,230.97,236.6,242.48,248.6,254.96,261.58,268.43,275.53,282.88,290.47,298.31,306.39,314.71,323.28,332.1,341.16,350.46,360.01,369.81,379.85,390.13,400.66,411.44,422.46,433.72,445.23,456.98,468.98
6,461.64,449.64,437.88,426.37,415.11,404.09,393.32,382.79,372.5,362.46,352.67,343.12,333.81,324.75,315.94,307.37,299.04,290.96,283.12,275.53,268.19,261.09,254.23,247.62,241.25,235.13,229.25,223.62,218.23,213.09,208.19,203.54,199.13,194.97,191.05,187.38,183.95,180.77,177.83,175.14,172.69,170.48,168.52,166.81,165.34,164.12,163.14,162.4,161.91,161.67,161.67,161.91,162.4,163.14,164.12,165.34,166.81,168.52,170.48,172.69,175.14,177.83,180.77,183.95,187.38,191.05,194.97,199.13,203.54,208.19,213.09,218.23,223.62,229.25,235.13,241.25,247.62,254.23,261.09,268.19,275.53,283.12,290.96,299.04,307.37,315.94,324.75,333.81,343.12,352.67,362.46,372.5,382.79,393.32,404.09,415.11,426.37,437.88,449.64,461.64
7,454.45,442.45,430.7,419.19,407.93,396.91,386.13,375.6,365.32,355.28,345.49,335.94,326.63,317.57,308.75,300.18,291.86,283.78,275.94,268.35,261,253.9,247.05,240.43,234.07,227.95,222.07,216.44,211.05,205.91,201.01,196.36,191.95,187.79,183.87,180.2,176.77,173.58,170.65,167.95,165.5,163.3,161.34,159.63,158.16,156.93,155.95,155.22,154.73,154.48,154.48,154.73,155.22,155.95,156.93,158.16,159.63,161.34,163.3,165.5,167.95,170.65,173.58,176.77,180.2,183.87,187.79,191.95,196.36,201.01,205.91,211.05,216.44,222.07,227.95,234.07,240.43,247.05,253.9,261,268.35,275.94,283.78,291.86,300.18,308.75,317.57,326.63,335.94,345.49,355.28,365.32,375.6,386.13,396.91,407.93,419.19,430.7,442.45,454.45
8,447.43,435.44,423.68,412.17,400.91,389.89,379.11,368.58,358.3,348.26,338.47,328.92,319.61,310.55,301.73,293.16,284.84,276.76,268.92,261.33,253.98,246.88,240.03,233.41,227.05,220.93,215.05,209.42,204.03,198.89,193.99,189.34,184.93,180.77,176.85,173.18,169.75,166.56,163.63,160.93,158.48,156.28,154.32,152.61,151.14,149.91,148.93,148.2,147.71,147.46,147.46,147.71,148.2,148.93,149.91,151.14,152.61,154.32,156.28,158.48,160.93,163.63,166.56,169.75,173.18,176.85,180.77,184.93,189.34,193.99,198.89,204.03,209.42,215.05,220.93,227.05,233.41,240.03,246.88,253.98,261.33,268.92,276.76,284.84,293.16,301.73,310.55,319.61,328.92,338.47,348.26,358.3,368.58,379.11,389.89,400.91,412.17,423.68,435.44,447.43
9,440.58,428.58,416.82,405.32,394.05,383.03,372.26,361.73,351.44,341.4,331.61,322.06,312.75,303.69,294.88,286.31,277.98,269.9,262.07,254.47,247.13,240.03,233.17,226.56,220.19,214.07,208.19,202.56,197.17,192.03,187.13,182.48,178.07,173.91,169.99,166.32,162.89,159.71,156.77,154.08,151.63,149.42,147.46,145.75,144.28,143.06,142.08,141.34,140.85,140.61,140.61,140.85,141.34,142.08,143.06,144.28,145.75,147.46,149.42,151.63,154.08,156.77,159.71,162.89,166.32,169.99,173.91,178.07,182.48,187.13,192.03,197.17,202.56,208.19,214.07,220.19,226.56,233.17,240.03,247.13,254.47,262.07,269.9,277.98,286.31,294.88,303.69,312.75,322.06,331.61,341.4,351.44,361.73,372.26,383.03,394.05,405.32,416.82,428.58,440.58
10,433.88,421.89,410.13,398.62,387.36,376.34,365.56,355.04,344.75,334.71,324.92,315.37,306.06,297,288.18,279.61,271.29,263.21,255.37,247.78,240.43,233.33,226.48,219.87,213.5,207.38,201.5,195.87,190.48,185.34,180.44,175.79,171.38,167.22,163.3,159.63,156.2,153.01,150.08,147.38,144.93,142.73,140.77,139.06,137.59,136.36,135.38,134.65,134.16,133.91,133.91,134.16,134.65,135.38,136.36,137.59,139.06,140.77,142.73,144.93,147.38,150.08,153.01,156.2,159.63,163.3,167.22,171.38,175.79,180.44,185.34,190.48,195.87,201.5,207.38,213.5,219.87,226.48,233.33,240.43,247.78,255.37,263.21,271.29,279.61,288.18,297,306.06,315.37,324.92,334.71,344.75,355.04,365.56,376.34,387.36,398.62,410.13,421.89,433.88
