,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,2085.6,1995.8,1908.1,1822.4,1738.7,1657.1,1577.5,1500,1424.5,1351,1279.6,1210.2,1142.9,1077.6,1014.4,953.16,894,836.87,781.78,728.73,677.73,628.76,581.84,536.95,494.11,453.31,414.54,377.82,343.14,310.5,279.9,251.34,224.82,200.34,177.91,157.51,139.15,122.84,108.56,96.327,86.133,77.979,71.867,67.795,65.763,65.772,67.822,71.912,78.043,86.214,96.427,108.68,122.97,139.31,157.68,178.1,200.55,225.05,251.59,280.16,310.78,343.44,378.14,414.88,453.66,494.48,537.34,582.25,629.19,678.17,729.2,782.26,837.37,894.51,953.7,1014.9,1078.2,1143.5,1210.9,1280.2,1351.7,1425.1,1500.7,1578.2,1657.8,1739.4,1823.1,1908.8,1996.6,2086.4,2178.2,2272.1,2368,2466,2566,2668,2772.1,2878.2,2986.4,3096.6
12,2054.3,1965.6,1878.9,1794.2,1711.5,1630.9,1552.4,1475.9,1401.4,1329,1258.6,1190.2,1123.9,1059.6,997.42,937.23,879.08,822.97,768.9,716.88,666.89,618.95,573.04,529.18,487.35,447.57,409.83,374.13,340.47,308.85,279.27,251.73,226.23,202.77,181.35,161.98,144.64,129.34,116.09,104.87,95.701,88.568,83.475,80.423,79.412,80.441,83.511,88.622,95.773,104.96,116.2,129.47,144.78,162.14,181.53,202.97,226.44,251.96,279.52,309.11,340.75,374.43,410.15,447.91,487.71,529.55,573.44,619.36,667.32,717.33,769.37,823.46,879.58,937.75,997.95,1060.2,1124.5,1190.8,1259.2,1329.6,1402,1476.5,1553.1,1631.6,1712.3,1794.9,1879.6,1966.3,2055.1,2145.9,2238.8,2333.7,2430.6,2529.6,2630.6,2733.7,2838.8,2945.9,3055.1,3166.3
13,2024.9,1937.2,1851.5,1767.8,1686.2,1606.6,1529.1,1453.6,1380.2,1308.8,1239.4,1172,1106.8,1043.5,982.3,923.13,866,810.91,757.87,706.86,657.9,610.97,566.09,523.24,482.44,443.68,406.95,372.27,339.63,309.03,280.47,253.95,229.47,207.04,186.64,168.28,151.97,137.69,125.46,115.26,107.11,101,96.923,94.891,94.9,96.95,101.04,107.17,115.34,125.55,137.81,152.1,168.43,186.81,207.22,229.68,254.17,280.71,309.29,339.91,372.56,407.26,444,482.78,523.61,566.47,611.37,658.31,707.3,758.32,811.38,866.49,923.64,982.82,1044,1107.3,1172.6,1240,1309.4,1380.8,1454.3,1529.8,1607.3,1686.9,1768.6,1852.2,1937.9,2025.7,2115.5,2207.3,2301.2,2397.1,2495.1,2595.1,2697.1,2801.2,2907.3,3015.5,3125.7,3237.9
14,1997.4,1910.6,1826,1743.3,1662.7,1584.2,1507.7,1433.2,1360.8,1290.4,1222,1155.7,1091.4,1029.2,969.02,910.87,854.76,800.7,748.67,698.68,650.74,604.83,560.97,519.14,479.36,441.62,405.92,372.26,340.64,311.06,283.52,258.02,234.56,213.14,193.76,176.43,161.13,147.88,136.66,127.49,120.35,115.26,112.21,111.2,112.23,115.3,120.41,127.56,136.75,147.98,161.25,176.57,193.92,213.32,234.75,258.23,283.74,311.3,340.9,372.54,406.22,441.93,479.69,519.5,561.34,605.22,651.14,699.1,749.11,801.15,855.24,911.36,969.53,1029.7,1092,1156.3,1222.6,1291,1361.4,1433.8,1508.3,1584.9,1663.4,1744,1826.7,1911.4,1998.1,2086.9,2177.7,2270.6,2365.5,2462.4,2561.4,2662.4,2765.5,2870.6,2977.7,3086.9,3198.1,3311.4
15,1971.6,1885.9,1802.3,1720.7,1641.1,1563.6,1488.1,1414.6,1343.2,1273.8,1206.5,1141.2,1078,1016.7,957.58,900.45,845.36,792.32,741.31,692.34,645.42,600.53,557.69,516.89,478.12,441.4,406.72,374.08,343.48,314.92,288.4,263.92,241.48,221.08,202.73,186.41,172.14,159.9,149.71,141.55,135.44,131.37,129.34,129.34,131.39,135.48,141.61,149.78,160,172.25,186.54,202.88,221.25,241.66,264.12,288.62,315.15,343.73,374.35,407.01,441.7,478.44,517.22,558.05,600.91,645.81,692.75,741.73,792.76,845.82,900.93,958.07,1017.3,1078.5,1141.8,1207.1,1274.4,1343.8,1415.2,1488.7,1564.2,1641.8,1721.4,1803,1886.7,1972.4,2060.1,2149.9,2241.8,2335.6,2431.6,2529.5,2629.5,2731.6,2835.6,2941.8,3049.9,3160.1,3272.4,3386.6
16,1947.8,1863.1,1780.4,1699.8,1621.3,1544.8,1470.3,1397.9,1327.5,1259.1,1192.8,1128.5,1066.3,1006.1,947.98,891.87,837.8,785.77,735.79,687.84,641.94,598.07,556.25,516.47,478.72,443.02,409.36,377.74,348.16,320.62,295.12,271.66,250.24,230.87,213.53,198.23,184.98,173.76,164.59,157.46,152.36,149.31,148.3,149.33,152.4,157.51,164.66,173.85,185.08,198.35,213.67,231.02,250.42,271.85,295.33,320.84,348.4,378,409.63,443.31,479.03,516.79,556.59,598.43,642.31,688.24,736.2,786.2,838.25,892.33,948.46,1006.6,1066.8,1129.1,1193.4,1259.7,1328.1,1398.5,1470.9,1545.4,1621.9,1700.5,1781.1,1863.8,1948.5,2035.2,2124,2214.8,2307.7,2402.6,2499.5,2598.5,2699.5,2802.5,2907.6,3014.8,3124,3235.2,3348.5,3463.8
17,1925.7,1842.1,1760.4,1680.9,1603.3,1527.8,1454.4,1383,1313.6,1246.3,1181,1117.7,1056.5,997.34,940.21,885.13,832.08,781.07,732.11,685.18,640.3,597.45,556.65,517.88,481.16,446.48,413.84,383.24,354.68,328.16,303.68,281.24,260.84,242.49,226.17,211.89,199.66,189.46,181.31,175.2,171.12,169.09,169.1,171.15,175.24,181.37,189.54,199.75,212,226.3,242.63,261,281.42,303.87,328.37,354.91,383.48,414.1,446.76,481.46,518.2,556.98,597.8,640.66,685.56,732.5,781.49,832.51,885.57,940.68,997.82,1057,1118.2,1181.5,1246.8,1314.2,1383.6,1455,1528.5,1604,1681.5,1761.1,1842.7,1926.4,2012.1,2099.9,2189.7,2281.5,2375.4,2471.3,2569.3,2669.3,2771.3,2875.4,2981.5,3089.7,3199.9,3312.1,3426.4,3542.7
18,1905.5,1822.9,1742.3,1663.7,1587.2,1512.7,1440.3,1369.9,1301.5,1235.2,1171,1108.7,1048.5,990.4,934.29,880.22,828.19,778.21,730.26,684.35,640.49,598.67,558.88,521.14,485.44,451.78,420.15,390.57,363.03,337.53,314.08,292.66,273.28,255.94,240.65,227.39,216.18,207,199.87,194.78,191.72,190.71,191.74,194.81,199.92,207.07,216.26,227.49,240.77,256.08,273.43,292.83,314.26,337.74,363.25,390.81,420.41,452.04,485.72,521.44,559.2,599,640.84,684.72,730.64,778.61,828.61,880.65,934.74,990.86,1049,1109.2,1171.5,1235.8,1302.1,1370.5,1440.9,1513.3,1587.8,1664.3,1742.9,1823.5,1906.2,1990.9,2077.6,2166.4,2257.2,2350.1,2445,2541.9,2640.9,2741.9,2844.9,2950,3057.2,3166.4,3277.6,3390.9,3506.2,3623.5
19,1887.1,1805.5,1725.9,1648.4,1572.9,1499.5,1428,1358.7,1291.3,1226,1162.8,1101.6,1042.4,985.29,930.2,877.15,826.14,777.18,730.25,685.37,642.52,601.72,562.96,526.23,491.55,458.91,428.31,399.75,373.23,348.75,326.31,305.91,287.56,271.24,256.96,244.73,234.53,226.38,220.27,216.19,214.16,214.17,216.22,220.31,226.44,234.61,244.82,257.07,271.36,287.7,306.07,326.48,348.94,373.43,399.97,428.55,459.17,491.82,526.52,563.26,602.04,642.86,685.72,730.62,777.57,826.55,877.57,930.64,985.74,1042.9,1102.1,1163.3,1226.6,1291.9,1359.2,1428.6,1500,1573.5,1649,1726.6,1806.2,1887.8,1971.5,2057.2,2144.9,2234.7,2326.6,2420.4,2516.4,2614.3,2714.3,2816.4,2920.4,3026.6,3134.7,3244.9,3357.2,3471.4,3587.8,3706.1
20,1870.6,1790,1711.4,1634.9,1560.5,1488,1417.6,1349.3,1283,1218.7,1156.5,1096.3,1038.1,982.02,927.95,875.92,825.93,777.99,732.08,688.22,646.39,606.61,568.87,533.16,499.5,467.88,438.3,410.76,385.26,361.8,340.38,321.01,303.67,288.37,275.12,263.9,254.73,247.59,242.5,239.45,238.43,239.46,242.53,247.64,254.79,263.98,275.21,288.49,303.8,321.15,340.55,361.98,385.46,410.97,438.53,468.12,499.76,533.44,569.16,606.92,646.72,688.56,732.44,778.36,826.33,876.33,928.37,982.46,1038.6,1096.7,1157,1219.2,1283.5,1349.8,1418.2,1488.6,1561,1635.5,1712.1,1790.6,1871.2,1953.9,2038.6,2125.3,2214.1,2304.9,2397.8,2492.7,2589.6,2688.6,2789.6,2892.7,2997.8,3104.9,3214.1,3325.3,3438.6,3553.9,3671.2,3790.6
