,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,400,408,415.84,423.51,431.02,438.36,445.55,452.57,459.42,466.12,472.65,479.01,485.22,491.26,497.13,502.85,508.4,513.78,519.01,524.07,528.97,533.7,538.27,542.68,546.92,551,554.92,558.68,562.27,565.7,568.96,572.06,575,577.78,580.39,582.84,585.12,587.25,589.21,591,592.63,594.1,595.41,596.55,597.53,598.35,599,599.49,599.82,599.98,599.98,599.82,599.49,599,598.35,597.53,596.55,595.41,594.1,592.63,591,589.21,587.25,585.12,582.84,580.39,577.78,575,572.06,568.96,565.7,562.27,558.68,554.92,551,546.92,542.68,538.27,533.7,528.97,524.07,519.01,513.78,508.4,502.85,497.13,491.26,485.22,479.01,472.65,466.12,459.42,452.57,445.55,438.36,431.02,423.51,415.84,408,400
2,376,384,391.84,399.51,407.02,414.37,421.55,428.57,435.42,442.12,448.65,455.01,461.22,467.26,473.14,478.85,484.4,489.79,495.01,500.07,504.97,509.7,514.27,518.68,522.93,527.01,530.93,534.68,538.27,541.7,544.96,548.07,551,553.78,556.39,558.84,561.13,563.25,565.21,567,568.64,570.11,571.41,572.55,573.53,574.35,575,575.49,575.82,575.98,575.98,575.82,575.49,575,574.35,573.53,572.55,571.41,570.11,568.64,567,565.21,563.25,561.13,558.84,556.39,553.78,551,548.07,544.96,541.7,538.27,534.68,530.93,527.01,522.93,518.68,514.27,509.7,504.97,500.07,495.01,489.79,484.4,478.85,473.14,467.26,461.22,455.01,448.65,442.12,435.42,428.57,421.55,414.37,407.02,399.51,391.84,384,376
3,352.49,360.49,368.33,376,383.51,390.86,398.04,405.06,411.92,418.61,425.14,431.51,437.71,443.75,449.63,455.34,460.89,466.28,471.5,476.56,481.46,486.2,490.77,495.17,499.42,503.5,507.42,511.17,514.76,518.19,521.46,524.56,527.5,530.27,532.88,535.33,537.62,539.74,541.7,543.5,545.13,546.6,547.9,549.05,550.03,550.84,551.49,551.98,552.31,552.47,552.47,552.31,551.98,551.49,550.84,550.03,549.05,547.9,546.6,545.13,543.5,541.7,539.74,537.62,535.33,532.88,530.27,527.5,524.56,521.46,518.19,514.76,511.17,507.42,503.5,499.42,495.17,490.77,486.2,481.46,476.56,471.5,466.28,460.89,455.34,449.63,443.75,437.71,431.51,425.14,418.61,411.92,405.06,398.04,390.86,383.51,376,368.33,360.49,352.49
4,329.48,337.48,345.31,352.98,360.49,367.84,375.02,382.04,388.9,395.59,402.12,408.49,414.69,420.73,426.61,432.32,437.87,443.26,448.48,453.55,458.44,463.18,467.75,472.16,476.4,480.48,484.4,488.15,491.75,495.17,498.44,501.54,504.48,507.25,509.87,512.32,514.6,516.72,518.68,520.48,522.11,523.58,524.89,526.03,527.01,527.82,528.48,528.97,529.29,529.46,529.46,529.29,528.97,528.48,527.82,527.01,526.03,524.89,523.58,522.11,520.48,518.68,516.72,514.6,512.32,509.87,507.25,504.48,501.54,498.44,495.17,491.75,488.15,484.4,480.48,476.4,472.16,467.75,463.18,458.44,453.55,448.48,443.26,437.87,432.32,426.61,420.73,414.69,408.49,402.12,395.59,388.9,382.04,375.02,367.84,360.49,352.98,345.31,337.48,329.48
5,306.95,314.95,322.78,330.46,337.97,345.31,352.49,359.51,366.37,373.06,379.59,385.96,392.16,398.2,404.08,409.79,415.35,420.73,425.96,431.02,435.91,440.65,445.22,449.63,453.87,457.95,461.87,465.63,469.22,472.65,475.91,479.01,481.95,484.73,487.34,489.79,492.07,494.19,496.15,497.95,499.58,501.05,502.36,503.5,504.48,505.3,505.95,506.44,506.76,506.93,506.93,506.76,506.44,505.95,505.3,504.48,503.5,502.36,501.05,499.58,497.95,496.15,494.19,492.07,489.79,487.34,484.73,481.95,479.01,475.91,472.65,469.22,465.63,461.87,457.95,453.87,449.63,445.22,440.65,435.91,431.02,425.96,420.73,415.35,409.79,404.08,398.2,392.16,385.96,379.59,373.06,366.37,359.51,352.49,345.31,337.97,330.46,322.78,314.95,306.95
6,284.91,292.91,300.74,308.42,315.93,323.27,330.46,337.48,344.33,351.03,357.56,363.92,370.13,376.17,382.04,387.76,393.31,398.69,403.92,408.98,413.88,418.61,423.18,427.59,431.83,435.91,439.83,443.59,447.18,450.61,453.87,456.97,459.91,462.69,465.3,467.75,470.03,472.16,474.11,475.91,477.54,479.01,480.32,481.46,482.44,483.26,483.91,484.4,484.73,484.89,484.89,484.73,484.4,483.91,483.26,482.44,481.46,480.32,479.01,477.54,475.91,474.11,472.16,470.03,467.75,465.3,462.69,459.91,456.97,453.87,450.61,447.18,443.59,439.83,435.91,431.83,427.59,423.18,418.61,413.88,408.98,403.92,398.69,393.31,387.76,382.04,376.17,370.13,363.92,357.56,351.03,344.33,337.48,330.46,323.27,315.93,308.42,300.74,292.91,284.91
7,263.36,271.36,279.2,286.87,294.38,301.72,308.91,315.93,322.78,329.48,336.01,342.37,348.58,354.62,360.49,366.21,371.76,377.15,382.37,387.43,392.33,397.06,401.63,406.04,410.28,414.37,418.28,422.04,425.63,429.06,432.32,435.42,438.36,441.14,443.75,446.2,448.48,450.61,452.57,454.36,455.99,457.46,458.77,459.91,460.89,461.71,462.36,462.85,463.18,463.34,463.34,463.18,462.85,462.36,461.71,460.89,459.91,458.77,457.46,455.99,454.36,452.57,450.61,448.48,446.2,443.75,441.14,438.36,435.42,432.32,429.06,425.63,422.04,418.28,414.37,410.28,406.04,401.63,397.06,392.33,387.43,382.37,377.15,371.76,366.21,360.49,354.62,348.58,342.37,336.01,329.48,322.78,315.93,308.91,301.72,294.38,286.87,279.2,271.36,263.36
8,242.3,250.3,258.14,265.81,273.32,280.67,287.85,294.87,301.72,308.42,314.95,321.31,327.52,333.56,339.43,345.15,350.7,356.09,361.31,366.37,371.27,376,380.57,384.98,389.23,393.31,397.22,400.98,404.57,408,411.26,414.37,417.3,420.08,422.69,425.14,427.43,429.55,431.51,433.3,434.94,436.4,437.71,438.85,439.83,440.65,441.3,441.79,442.12,442.28,442.28,442.12,441.79,441.3,440.65,439.83,438.85,437.71,436.4,434.94,433.3,431.51,429.55,427.43,425.14,422.69,420.08,417.3,414.37,411.26,408,404.57,400.98,397.22,393.31,389.23,384.98,380.57,376,371.27,366.37,361.31,356.09,350.7,345.15,339.43,333.56,327.52,321.31,314.95,308.42,301.72,294.87,287.85,280.67,273.32,265.81,258.14,250.3,242.3
9,221.73,229.73,237.57,245.24,252.75,260.1,267.28,274.3,281.15,287.85,294.38,300.74,306.95,312.99,318.87,324.58,330.13,335.52,340.74,345.8,350.7,355.43,360,364.41,368.66,372.74,376.66,380.41,384,387.43,390.69,393.8,396.74,399.51,402.12,404.57,406.86,408.98,410.94,412.73,414.37,415.84,417.14,418.28,419.26,420.08,420.73,421.22,421.55,421.71,421.71,421.55,421.22,420.73,420.08,419.26,418.28,417.14,415.84,414.37,412.73,410.94,408.98,406.86,404.57,402.12,399.51,396.74,393.8,390.69,387.43,384,380.41,376.66,372.74,368.66,364.41,360,355.43,350.7,345.8,340.74,335.52,330.13,324.58,318.87,312.99,306.95,300.74,294.38,287.85,281.15,274.3,267.28,260.1,252.75,245.24,237.57,229.73,221.73
10,201.65,209.65,217.49,225.16,232.67,240.02,247.2,254.22,261.08,267.77,274.3,280.67,286.87,292.91,298.79,304.5,310.05,315.44,320.66,325.72,330.62,335.35,339.92,344.33,348.58,352.66,356.58,360.33,363.92,367.35,370.62,373.72,376.66,379.43,382.04,384.49,386.78,388.9,390.86,392.65,394.29,395.76,397.06,398.2,399.18,400,400.65,401.14,401.47,401.63,401.63,401.47,401.14,400.65,400,399.18,398.2,397.06,395.76,394.29,392.65,390.86,388.9,386.78,384.49,382.04,379.43,376.66,373.72,370.62,367.35,363.92,360.33,356.58,352.66,348.58,344.33,339.92,335.35,330.62,325.72,320.66,315.44,310.05,304.5,298.79,292.91,286.87,280.67,274.3,267.77,261.08,254.22,247.2,240.02,232.67,225.16,217.49,209.65,201.65
